"048C","049C","064C","065C","067C","078C","086C","088C","090C","097C","098C","100C","101C","104C","106C","108C","109C","110C","119C","121C","122C","125C","128C","133C","146C","151C","152C","154C","165C","166C","168C","170C","172C","173C","176C","178C","179C","182C","183C","185C","186C","195C","197C","211C","212C","217C","218C","221C","402C","407C","415C","418C_V2"
"111A",0.816969727186062,0.515406362341951,0.380199939055775,0.816969727186062,0.404684358266898,0.441318535139856,0.645686529486355,0.77837274139365,0.0716107472299978,0.391307954120547,0.75025680716809,0.83632570419541,0.315291171532278,0,0.391920127761559,0.816969727186062,0.656894124795642,0.816969727186062,0.82011636494878,0.410387585911031,0.425028000564199,0.955000914141272,0.955000914141272,0.821114757794828,0.974479393401815,0.77837274139365,0.970210392707258,0.95120283624004,0.738069836827456,0.14564893632393,0.951245440298914,0.974479393401815,0.816969727186062,0.656894124795642,0.75025680716809,0.548370485671375,0.868311781794498,0.28405294761257,0.14564893632393,0.274217105767769,0.951245440298914,0.359130514318813,0.77837274139365,0.77837274139365,0.901053481998224,0.974479393401815,0.889945466933453,0.901053481998224,0.28405294761257,0.379986866118176,0.816969727186062,0.974479393401815
"115A",0.781940453977474,0.190533270690325,0.0716107472299978,0.781940453977474,0.619795678682004,0.132729343314079,0.597360107532116,0.820537439769885,0.380199939055775,0.0827187622947689,0.425383715516464,0.878490402571645,0.530402491947384,0.308589191825778,0.515295299381167,0.781940453977474,0.332021033144015,0.781940453977474,0.820233349768838,0.625498906326137,0.468437727405458,0.95641994466468,0.95641994466468,0.641333847668287,0.975898423925223,0.820537439769885,0.971629423230667,0.953529244826885,0.742837010636317,0.454238128149707,0.953571848885759,0.975898423925223,0.781940453977474,0.332021033144015,0.425383715516464,0.31697526543042,0.868428766614555,0.592642139438348,0.454238128149707,0.582806297593547,0.953571848885759,0.482505685938421,0.820537439769885,0.820537439769885,0.902472512521633,0.975898423925223,0.891364497456862,0.902472512521633,0.592642139438348,0.596839909148455,0.781940453977474,0.975898423925223
"123A",0.800179617922457,0.317888183182789,0.547995072295278,0.800179617922457,0.500203390020609,0.343654981751201,0.409490130894826,0.855060503540717,0.504585345454018,0.567023804979645,0.632687185395785,0.913013466342477,0.284301435665113,0.43297459822402,0.586379472014671,0.800179617922457,0.45420279535463,0.800179617922457,0.820826035813685,0.469692707994422,0.0399837264676554,0.954906322272977,0.954906322272977,0.754463943589757,0.889263093864813,0.855060503540717,0.980765452418581,0.951441813696286,0.652960780621727,0.588748914489038,0.95148441775516,0.889263093864813,0.800179617922457,0.45420279535463,0.632687185395785,0.554310183634479,0.757364960695618,0.620834800674937,0.588748914489038,0.436559867081783,0.95148441775516,0.459822696354374,0.855060503540717,0.855060503540717,0.977560094745191,0.889263093864813,0.973797020333175,0.977560094745191,0.620834800674937,0.716768719180543,0.800179617922457,0.889263093864813
"131A",0.961755352743817,0.721249866448273,0.713832380814766,0.961755352743817,0.937526457100825,0.730240162088216,0.587657123000831,0.962996656740796,0.893613290941307,0.692760713417305,0.472549074261865,0.980516186702467,0.90118381766258,0.891675815025239,0.860179198408013,0.961755352743817,0.724581687449086,0.961755352743817,0.910546282271309,0.649694335306682,0.907701723259602,0.797303704148041,0.797303704148041,0.286562794823666,0.993826962480753,0.962996656740796,0.992316553247758,0.786217015204598,0.472012103059713,0.891050156423912,0.787199257842027,0.993826962480753,0.961755352743817,0.724581687449086,0.472549074261865,0.734710930763726,0.947277758956113,0.945313071508474,0.891050156423912,0.91335289321557,0.787199257842027,0.898531664567924,0.962996656740796,0.962996656740796,0.987286391298719,0.993826962480753,0.993239181280408,0.987286391298719,0.945313071508474,0.909650099976387,0.961755352743817,0.993826962480753
"136A",0.978289344255003,0.732752577794819,0.797685225657685,0.978289344255003,0.731145649349436,0.753538683324546,0.660676805340184,0.978370117867011,0.797568240837628,0.816355170432372,0.797944995710611,0.953721394413304,0.797258684304598,0.798434766570805,0.700711512480159,0.978289344255003,0.796589917003485,0.978289344255003,0.128164940059911,0.733043372336703,0.732644822221429,0.994435933195301,0.994435933195301,0.945838540750207,0.994618066740404,0.978370117867011,0.994971158665477,0.962270183121914,0.94267965488066,0.881731809872648,0.987026402666882,0.994618066740404,0.978289344255003,0.796589917003485,0.797944995710611,0.836916500238396,0.0647038649418435,0.791996254958826,0.881731809872648,0.817259037713155,0.987026402666882,0.571374391635165,0.978370117867011,0.978370117867011,0.99484000446334,0.994618066740404,0.991435717961003,0.99484000446334,0.791996254958826,0.69606233645322,0.978289344255003,0.994618066740404
"138A",0.962667158986576,0.841466752206666,0.814405153807441,0.962667158986576,0.726633418351687,0.850457047846609,0.683675349128496,0.963908462983555,0.809637979998581,0.799286276391669,0.940641479262313,0.867266998523028,0.836852619485571,0.738027232768583,0.582628222904799,0.962667158986576,0.914471844521409,0.962667158986576,0.884818409452887,0.933238656371728,0.655844430145212,0.988877477005117,0.988877477005117,0.373262559843613,0.984087168339236,0.963908462983555,0.983449838654046,0.672967827025159,0.0973203051272293,0.807074845481185,0.770288132152389,0.984087168339236,0.962667158986576,0.914471844521409,0.940641479262313,0.924601087836049,0.921549886137691,0.734420032759336,0.807074845481185,0.918694966352491,0.770288132152389,0.617965354504857,0.963908462983555,0.963908462983555,0.894182003059244,0.984087168339236,0.894182003059244,0.894182003059244,0.734420032759336,0.698757061227249,0.962667158986576,0.984087168339236
"141A",0.962667158986576,0.841466752206666,0.814405153807441,0.962667158986576,0.726633418351687,0.850457047846609,0.683675349128496,0.963908462983555,0.809637979998581,0.799286276391669,0.940641479262313,0.867266998523028,0.836852619485571,0.738027232768583,0.582628222904799,0.962667158986576,0.914471844521409,0.962667158986576,0.884818409452887,0.933238656371728,0.655844430145212,0.988877477005117,0.988877477005117,0.373262559843613,0.984087168339236,0.963908462983555,0.983449838654046,0.672967827025159,0.0973203051272293,0.807074845481185,0.770288132152389,0.984087168339236,0.962667158986576,0.914471844521409,0.940641479262313,0.924601087836049,0.921549886137691,0.734420032759336,0.807074845481185,0.918694966352491,0.770288132152389,0.617965354504857,0.963908462983555,0.963908462983555,0.894182003059244,0.984087168339236,0.894182003059244,0.894182003059244,0.734420032759336,0.698757061227249,0.962667158986576,0.984087168339236
"144A",0.0385969857924113,0.858163949184168,0.818246819578895,0.0385969857924113,0.904679080921498,0.83720829338724,0.909303539588677,0,0.77608212120266,0.825226627951099,0.905514906946143,0.0966414644605268,0.848605949420389,0.77837274139365,0.904752451872133,0.0385969857924113,0.849883041813223,0.0385969857924113,0.973829606770915,0.907937481542275,0.854646198488081,0.699964040446679,0.699964040446679,0.949729484015049,0.691486889578109,0,0.568000709718205,0.290940635958396,0.934987803893793,0.783765044086618,0.270790049225454,0.691486889578109,0.0385969857924113,0.849883041813223,0.905514906946143,0.798257041614832,0.972379830687055,0.844712134279522,0.783765044086618,0.786762687640059,0.270790049225454,0.912412003314614,0,0,0.686092636922063,0.691486889578109,0.680441604911628,0.686092636922063,0.844712134279522,0.844164149301693,0.0385969857924113,0.691486889578109
"147A",0.125149953942998,0.857710904279596,0.813414963406198,0.125149953942998,0.910586680630222,0.836755248482667,0.908850494684104,0.0865529681505869,0.771250265029963,0.820394771778402,0.911422506654866,0.183194432611114,0.854513549129113,0.773540885220953,0.910660051580857,0.125149953942998,0.855790641521946,0.125149953942998,0.979737206479639,0.907484436637702,0.854193153583509,0.698949058611214,0.698949058611214,0.946614355311044,0.690471907742645,0.0865529681505869,0.56698572788274,0.287825507254391,0.931872675189789,0.697212075936031,0.26767492052145,0.690471907742645,0.125149953942998,0.855790641521946,0.911422506654866,0.711704073464245,0.978287430395779,0.850619733988246,0.697212075936031,0.792670287348783,0.26767492052145,0.911958958410041,0.0865529681505869,0.0865529681505869,0.685077655086599,0.690471907742645,0.679426623076163,0.685077655086599,0.850619733988246,0.850071749010416,0.125149953942998,0.690471907742645
"148A",0.885416473514177,0.619345139176852,0.478767477079045,0.885416473514177,0.406248508459341,0.545257311974757,0.582300570473998,0.846819487721765,0.261914434048766,0.478767477079045,0.787002536371446,0.750178023261239,0.510966097162676,0.190303686818768,0.19050842587802,0.885416473514177,0.760832901630542,0.885416473514177,0.702102012468247,0.538869463909886,0.620702926194597,0.987494221981022,0.987494221981022,0.793730957829566,0.982703913315141,0.846819487721765,0.981833746165773,0.865055155305869,0.705314798050563,0.335952623142697,0.962375460433098,0.982703913315141,0.885416473514177,0.760832901630542,0.787002536371446,0.652309262506275,0.750297429313964,0.285617097805014,0.335952623142697,0.469892031398168,0.962375460433098,0.168826827500045,0.846819487721765,0.846819487721765,0.892798748035148,0.982703913315141,0.892798748035148,0.892798748035148,0.285617097805014,0.189683179299408,0.885416473514177,0.982703913315141
