"048C","049C","064C","065C","067C","078C","086C","088C","090C","097C","098C","100C","101C","104C","106C","108C","109C","110C","119C","121C","122C","125C","128C","133C","146C","151C","152C","154C","165C","166C","168C","170C","172C","173C","176C","178C","179C","182C","183C","185C","186C","195C","197C","211C","212C","217C","218C","221C","402C","407C","415C","418C_V2"
"022A",0.0496765978061635,100,100,0.16408054136917,0.813934356801962,0.600510129915187,100,0.263419476334044,0.718626577681515,100,0.785353009296143,0.389491683239447,0.72015198520148,0.732693804443215,100,100,0.678689178898764,100,100,100,0.748930722229481,100,0.768485668005132,100,100,0.257588377110978,0.656579657864351,0.558084628638034,100,0.723260394814418,100,0.769215544233006,100,0.784620265262645,0.745218479262847,0.765001914790563,100,100,0.722437016739426,0.786546814211085,0.51517969260119,0.793275490803004,0.263437173461219,0.258541502349413,100,0.770030997981735,100,100,0.82268928210639,0.805077145936807,0.0158117133814042,0.769628232804093
"038A",100,0.555839832476489,0.675216331036397,100,100,100,100,100,100,100,100,100,100,100,100,0.824127086557135,100,100,100,0.0133872172283166,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0.572332134465758,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"045A",100,100,100,100,100,100,0.405837382404168,100,100,0.579738360264315,100,100,100,100,0.674453659541484,100,100,0.772334573638683,0.826870867150951,100,100,0.788449487173351,100,100,100,100,100,100,100,100,100,100,0.763484789409043,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"056A",0.767123085960348,100,100,0.802098533554312,0.638323503583762,0.530621642699993,100,100,0.760270891235705,100,0.043986798152873,100,0.63182801037672,0.764949360863612,100,100,0.435386821195486,100,100,100,0.70146538464589,100,0.784204735325034,100,100,100,100,100,100,0.737921484303529,100,100,100,0.488487084860859,0.0366997110335189,0.59459653144626,100,100,0.73921636084805,0.728728927567682,100,0.716091766518598,0.807528239064156,0.802915462429107,100,100,100,100,0.775266239261799,0.766509679845758,0.749738619494403,100
"071A",100,0.678275790385127,0.750377477884636,100,100,100,100,100,100,100,100,100,100,100,100,0.184309992273458,100,100,100,0.804227600887055,100,100,100,100,0.764581022237066,100,100,100,100,100,100,100,100,100,100,100,100,0.804200604288559,100,100,100,100,100,100,100,100,0.767272576606847,100,100,100,100,100
"082A",100,100,100,100,100,100,100,100,100,100,0.55340454854981,100,100,100,100,100,100,100,100,100,100,100,0.787399128840039,0.37254190845766,100,100,100,0.66415090847505,0.407864403238072,100,100,100,100,100,0.547211981758999,100,0.782555466944055,100,100,100,0.661635540024704,100,100,100,100,100,100,100,100,100,100,100
"091A",0.23823553347933,100,100,0.169399798974716,0.76611023232925,0.736059075082789,100,0.2118029370836,0.725334306933462,100,0.823072051067775,0.263814349360508,0.773626994824507,0.761144529316917,100,100,0.751372439280511,100,100,100,0.77470284278056,100,0.81233668774563,100,100,0.17950192351648,0.702509917984157,0.491666245398433,100,0.597836343872586,100,0.80197799468491,100,0.693287752875019,0.80396427897133,0.670214226315743,100,100,0.595362349688707,0.666260585957692,0.449801636735246,0.799373697841986,0.0561217996773192,0.000484841524861137,100,0.803072770399598,100,100,0.774877808675792,0.802781245447462,0.273813696082303,0.802576959054451
"092A",0.768634668910809,100,100,0.801911471671462,0.714218717584792,0.460626208309898,100,100,0.763968948933164,100,0.150579248173985,100,0.656991828048038,0.726206190649511,100,100,0.478987010752546,100,100,100,0.636932024246065,100,0.784903774462003,100,100,100,100,100,100,0.73567550219835,100,100,100,0.578660224185195,0.069338125421741,0.650591812596095,0.844378343368629,100,0.736475471471311,0.782027119077764,100,0.663816085035294,0.814676087415874,0.809681715462781,100,100,100,100,0.827458343899628,0.792030313605224,0.745200390856418,100
"095A",0.710834347287299,100,100,0.719096332358571,0.532741297668513,0.32995370844511,100,0.795740354112828,0.634518003372911,100,0.345178562458263,100,0.341997570960199,0.614120064371966,100,100,0.144471047191938,100,100,100,0.475788786557065,100,100,0.738743493515351,100,0.829141811676521,100,100,0.848128866278965,0.680213522835351,100,100,100,0.217244823721078,0.418439863865791,0.331750068430871,100,100,0.68100078752588,0.50871828585815,100,0.667664194667547,0.789444905225032,0.784527536293607,100,100,100,100,0.660841898728973,0.666667618121912,0.695232466794043,100
"096A",0.594318031173443,100,100,0.722899263382752,0.674093643046937,0.214144038236462,100,0.767923591738194,0.454956178521154,100,0.53721070317951,0.841526277173484,0.483547467743446,0.432359718183809,100,100,0.268675217103121,100,100,100,0.503412328184876,100,100,0.756492121448128,100,0.781202342362203,100,100,0.789155391561507,0.551157274076306,100,100,100,0.449786097177587,0.501780583403705,0.407770741309445,100,100,0.550929240553354,0.539028633381222,100,0.613778591750975,0.731517272013781,0.712692803471068,100,100,100,100,0.680656554990169,0.65479528501059,0.624042721093168,100
