"048C","049C","064C","065C","067C","078C","086C","088C","090C","097C","098C","100C","101C","104C","106C","108C","109C","110C","119C","121C","122C","125C","128C","133C","146C","151C","152C","154C","165C","166C","168C","170C","172C","173C","176C","178C","179C","182C","183C","185C","186C","195C","197C","211C","212C","217C","218C","221C","402C","407C","415C","418C_V2"
"111A",0.745806045515008,100,100,0.810678357044501,0.608304718930522,0.440556498829482,100,0.576236486437839,0.238766555347626,100,0.771680564975382,0.737093089454787,0.415620127773986,0.0655033183286343,100,100,0.64009922373731,100,100,100,0.331725965673404,100,100,0.803518453738014,100,0.722895625921053,100,100,0.69745701357249,0.457215658109223,100,100,100,0.710700260609367,0.766471684793383,0.673807906241505,100,100,0.46237818165705,0.479476499745444,100,0.492294633856438,0.74489401647919,0.767963692818236,100,100,100,100,0.470418300954731,0.472155090347397,0.733486023496367,100
"115A",0.583588154979793,100,100,0.718794219740939,0.691413017062694,0.283412752414699,100,0.727707284352857,0.385018472591935,100,0.557114450084937,0.8272901354237,0.56722646750249,0.450202208957806,100,100,0.401768679494519,100,100,100,0.566108219764429,100,100,0.810456281022825,100,0.790287606704717,100,100,0.801715951977903,0.459842647454156,100,100,100,0.581721921631804,0.500964857106317,0.558066627652759,100,100,0.459862615449278,0.699376134165499,100,0.590161506772833,0.702554567703501,0.713484804636525,100,100,100,100,0.703016456119112,0.644990753649223,0.571296639711936,100
"123A",0.749839014659093,100,100,0.779906521676101,0.495316601123305,0.399884628688142,100,0.672332339328076,0.395767564777619,100,0.705162852887104,0.832437566243115,0.267518659294406,0.283855166318379,100,100,0.490541559510343,100,100,100,0.0884090659635224,100,100,0.743485513884445,100,0.776901337762231,100,100,0.752371950922661,0.522197823205135,100,100,100,0.589169225738657,0.692500633188155,0.624303083146964,100,100,0.519461210769087,0.487492980441791,100,0.345505019561527,0.781860947174303,0.767930562706422,100,100,100,100,0.548158071645674,0.576690491350351,0.745220084210068,100
"131A",100,100,100,100,100,100,100,100,100,100,0.553353833196243,100,100,100,100,100,100,100,100,100,100,100,0.782567650169985,0.366609501441815,100,100,100,0.663706358313755,0.403729840034868,100,100,100,100,100,0.548139728715561,100,0.782426314996237,100,100,100,0.658515555389751,100,100,100,100,100,100,100,100,100,100,100
"136A",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0.801233543162596,100,100,100,0.818376222276157,0.788165615296169,100,100,100,100,100,100,100,0.0895692307808669,100,100,100,100,0.712587417242254,100,100,100,100,100,100,100,0.724615308676368,100,100
"138A",100,100,100,100,0.707326424303072,100,100,100,0.818690798330505,100,100,0.790287944447419,100,0.768162812055734,100,100,100,100,100,100,0.830165125512595,100,100,0.320224125939259,100,100,100,0.464971852829942,0.196489326744582,0.847715524187426,100,100,100,100,100,100,0.770032464490176,100,100,100,0.603963353840415,0.60841244850342,100,100,100,100,100,100,0.713475254805223,0.642217732159129,100,100
"141A",100,100,100,100,0.721530219094419,100,100,100,0.777804995884842,100,100,0.780645683014299,100,0.794343070900492,100,100,100,100,100,100,100,100,100,0.343347486521243,100,100,100,0.456846047960603,0.232081193871645,0.806576123725374,100,100,100,100,100,100,0.765774910949215,100,0.811187265452363,100,0.595837548971075,0.612081294014057,100,100,100,100,100,100,0.739719631216852,0.649536459411798,100,100
"144A",100,0.748662647240868,0.66134362075339,100,100,100,100,100,100,100,100,100,100,100,100,0.202760459697912,100,100,100,0.812094369150695,100,100,100,100,0.796435634972365,100,100,100,100,100,100,100,100,100,100,100,100,0.801129641289232,100,100,100,100,100,100,100,100,0.801199660616776,100,100,100,100,100
"147A",0.28918334619392,100,100,0.247830670369604,0.795085209514423,0.725582053445829,100,0.260803251389994,0.725232835130277,100,0.813458966354801,0.340527165591269,0.774961009048752,0.76231544300446,100,100,0.741803564570473,100,100,100,0.775887732427297,100,0.811429346224773,100,100,0.263156053049225,0.702116240730339,0.488870666088821,100,0.513885706532166,100,0.801071539856696,100,0.712299643623321,0.796905329189983,0.59162751537681,100,100,0.511411712348288,0.697244875573654,0.446462132810852,0.80250580330931,0.0709970115848322,0.0834657958155579,100,0.802166315571383,100,100,0.800501682630804,0.804023287864625,0.318492363828424,0.801670504226236
"148A",100,100,100,100,0.487938121401803,0.688147504686447,100,0.798308813530457,0.503390112563463,100,0.810229847930042,0.656804348691635,0.669918714810503,0.495186086611264,100,100,0.79391366447497,100,100,100,0.648949241425673,100,100,0.729697268262896,100,0.807141220117046,100,0.678044906262175,0.646062897234765,0.639863038403657,100,100,100,0.812860303412018,0.805826452188386,0.800718443525874,0.664492420107219,100,0.645025561951484,0.710852950263532,0.817036407272648,0.274645492693729,0.845105069280978,0.847089487800878,100,100,100,100,0.471981967242774,0.256810205090639,0.842508584145161,100
"150A",0.776639958100054,100,100,0.790005187434311,0.295601726937545,0.638101058382908,100,0.847857914690069,0.659297142525155,100,0.66919595807796,0.706454986377887,0.545922473308913,0.697274831851987,100,100,0.540484842038339,100,100,100,0.610972512149144,100,100,0.821557009243554,100,0.840982889450385,100,0.7861274226466,0.838260816574218,0.50748486715019,100,100,100,0.572691985311107,0.667875293456128,0.552864260233007,0.792552160861234,100,0.510832016292151,0.629336373946777,100,0.287004853467962,0.740483596023898,0.754412889792953,100,100,100,100,0.429807450010931,0.2782422137641,0.789102917279355,100
"153A",100,100,100,100,100,100,100,100,100,100,100,100,100,100,0.749980230707847,100,100,0.766230740142082,100,100,100,0.258659126247724,100,100,100,100,100,100,100,100,0.751479303019883,100,0.761553555980909,100,100,100,100,100,100,100,100,100,100,100,0.220762266652129,100,100,0.224553938753093,100,100,100,100
"155A",100,100,100,100,100,100,0.657858074058905,100,100,100,100,100,100,100,0.792790035791662,100,100,100,0.056590923086231,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"157A",100,0.105875807771488,0.430051370439417,100,100,100,100,100,100,100,100,100,100,100,100,0.771757262476823,100,100,100,0.572591293388716,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0.686594843185605,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"159A_V2",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"160A",0.713234019733988,100,100,0.594786030936878,0.612622943920486,0.480945284062133,100,0.806422059300854,0.533290603164884,100,0.572155201905356,0.849597416673078,0.679693285580893,0.651232476080799,100,100,0.549337090258169,100,100,100,0.639731752154474,100,100,0.821972650918394,100,0.728979749808867,100,100,100,0.259201635542763,100,100,100,0.379675813131703,0.625997029213783,0.250398084821769,100,100,0.258973602019811,0.549195820513443,100,0.630112962841903,0.658292235569774,0.663607370471147,100,100,100,100,0.63977018440547,0.705745598276388,0.730716705165608,100
"162A",100,100,100,100,100,100,0.690226977252342,100,100,100,100,100,100,100,0.717074447893196,100,100,100,0.0875347526484857,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"167A",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0.6171463091349,100,100,100,0.631370891644542,100,100,100,100,0.617159201992535,100,100,100,100,0.391417167613169,100,100,100,100,100,100,100,100,0.617176239371444,100,100,100,100,100,0.61729367182594
"174A",100,100,100,100,100,0.759545528908799,100,0.821314695971538,0.640634982744826,100,100,100,0.798252984036237,0.649169502409493,100,100,0.815452269941025,100,100,100,0.715009295478974,100,100,0.318291748639084,100,100,100,0.617174027311616,0.21341883386178,0.719941451201126,100,100,100,100,100,100,0.800995338424831,100,0.718460833042621,100,0.580415996678541,0.759755012390772,100,100,100,100,100,100,100,0.794573111595541,100,100
"175A",100,100,100,100,100,100,0.507975169800142,100,100,0.595154854910575,100,100,100,100,0.22337571455591,100,100,0.774344820599485,0.751673424512901,100,100,100,100,100,100,100,100,100,100,100,100,100,0.777591641093966,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"181A",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0.846362893002821,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"191A",0.736790460938075,100,100,0.739072134766012,0.388481505424075,0.569785758159093,100,0.799188349187463,0.475374088095888,100,0.755378352486797,0.606008239455494,0.679662220291195,0.547213328626236,100,100,0.689137138072347,100,100,100,0.623193270835012,100,100,0.811959843294708,100,0.781467585472663,100,0.798543194259542,0.812704492634708,0.417973557578124,100,100,100,0.674530799838004,0.75129628035741,0.652380213885307,0.775073991885146,100,0.423136081125951,0.599265479682568,100,0.275506328820814,0.676168846321701,0.683042862658538,100,100,100,100,0.352320481168782,0.229289090960796,0.75623023926299,100
"192A",0.766996430366045,100,100,0.816275284184435,0.743434890717634,0.472794236410805,100,100,0.763605600627934,100,0.192039862289322,100,0.689859715518121,0.720629386458149,100,100,0.493692191161474,100,100,100,0.604644944349568,100,0.78402367253984,100,100,100,100,100,100,0.736407976458713,100,100,100,0.590578046051748,0.12209548327313,0.635779234524793,100,100,0.737207945731674,0.788738072918957,100,0.63576240547006,0.814377906199613,0.80629833065825,100,100,100,100,0.838240029207773,0.808619111112233,0.76726716202457,100
"194A",100,100,100,100,100,100,100,100,100,100,0.657713652206466,100,100,100,100,100,100,100,100,100,100,100,0.818950238402433,0.405320782420983,100,100,100,0.586804250238221,0.372602530927579,100,100,100,100,100,0.657816643216169,100,0.725570750911298,100,100,100,0.639344640516055,0.77075436525451,100,100,100,100,100,100,100,0.809342594617025,100,100
"198A_V2",100,100,100,100,100,100,0.757064546218771,100,100,0.829178598240401,100,100,100,100,0.791879378746849,100,100,100,0.80440650056086,100,100,100,100,100,100,100,100,100,100,100,0.512614583297573,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"205A",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0.849414442813332,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"209A",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0.814767134289043,100,100,100,0.820168962573139,0.81115463405502,100,100,100,100,100,100,100,0.056040678114562,100,100,100,100,0.780092653522183,100,100,100,100,100,100,100,0.799416004221048,100,100
"224A",100,100,100,100,100,100,100,100,100,100,0.561212981971848,100,100,100,100,100,100,100,100,100,100,100,0.762730472299516,0.382442182933136,100,100,100,0.663788790716747,0.416541328718509,100,100,100,100,100,0.555091776466659,100,0.781671120274953,100,100,100,0.658597987792743,100,100,100,100,100,100,100,100,100,100,100
"225A",100,100,100,100,0.655606878428078,0.791684793547117,100,100,0.814785942008112,100,100,0.793838775588337,0.834688067838072,0.810639290617338,100,100,0.849442402718603,100,100,100,0.756785604234641,100,100,0.289953744416013,100,100,100,0.479421657627968,0.278511543687673,0.821711069602962,100,100,100,100,100,100,0.76798561471618,100,0.826322211329951,100,0.618413158638441,0.551461268893896,100,100,100,100,100,100,0.67273942048727,0.615493769798669,100,100
"226A",100,100,100,100,100,100,0.684649460004957,100,100,0.410410598330958,100,100,100,100,0.537313344245401,100,100,0.659758415591251,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0.698122670327422,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"404A",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"405A",0.70703150793657,100,100,0.602774971825316,0.61238663636285,0.486261217167116,100,0.806944437746853,0.532222244439804,100,0.576382030022089,100,0.671983883133995,0.64830042120474,100,100,0.539550674814471,100,100,100,0.635992826684153,100,100,0.827911457714999,100,0.722559761498846,100,100,100,0.258024865022736,100,100,100,0.370015135283434,0.629649111463547,0.240356528291622,100,100,0.257796831499784,0.540309586343092,100,0.629688439351321,0.657269755651797,0.663448978400553,100,100,100,100,0.637180420742492,0.704031355946567,0.738705646054046,100
"406A_V2",100,100,100,100,100,100,0.420955020319764,100,100,0.617548619788528,100,100,100,100,0.0856798341395074,100,100,0.801036639660908,0.748691687385793,100,100,100,100,100,100,100,100,100,100,100,100,100,0.801614169885083,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"409A",100,100,100,100,100,100,100,100,100,100,0.597375008874295,100,100,100,100,100,100,100,100,100,100,100,0.79386706888873,0.384299123607673,100,100,100,0.645129810999595,0.350659909548868,100,100,100,100,100,0.599267335108496,100,0.769672441387724,100,100,100,0.635881002194564,100,100,100,100,100,100,100,100,100,100,100
"410A",100,100,100,100,100,0.768087161478126,100,0.825533108081359,0.651938670672353,100,100,100,0.807801865976181,0.652974114186753,100,100,0.82455422860584,100,100,100,0.721593579314708,100,100,0.328949117343829,100,100,100,0.621848839467267,0.192842227876695,0.73098604551406,100,100,100,100,100,100,0.801385713671995,100,0.729505427355555,100,0.579374731378327,0.748026038593076,100,100,100,100,100,100,100,0.795494824004645,100,100
"413A",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0.82761347208657,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"420A",100,100,100,100,100,100,100,100,100,100,0.551785577718749,100,100,100,100,100,100,100,100,100,100,100,0.788767441995352,0.370704541094703,100,100,100,0.66343378430745,0.406984949129862,100,100,100,100,100,0.540299000378876,100,0.782436414824381,100,100,100,0.660801672981073,100,100,100,100,100,100,100,100,100,100,100
