"048C","049C","064C","065C","067C","078C","086C","088C","090C","097C","098C","100C","101C","104C","106C","108C","109C","110C","119C","121C","122C","125C","128C","133C","146C","151C","152C","154C","165C","166C","168C","170C","172C","173C","176C","178C","179C","182C","183C","185C","186C","195C","197C","211C","212C","217C","218C","221C","402C","407C","415C","418C_V2"
"022A",0.0496765978061635,100,100,0.16408054136917,100,0.600510129915187,100,0.263419476334044,0.718626577681515,100,100,0.389491683239447,0.72015198520148,100,100,100,0.678689178898764,100,100,100,100,100,100,100,100,0.257588377110978,0.656579657864351,0.558084628638034,100,0.723260394814418,100,100,100,100,100,100,100,100,0.722437016739426,100,0.51517969260119,100,0.263437173461219,0.258541502349413,100,100,100,100,100,100,0.0158117133814042,100
"038A",100,0.555839832476489,0.675216331036397,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0.0133872172283166,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0.572332134465758,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"045A",100,100,100,100,100,100,0.405837382404168,100,100,0.579738360264315,100,100,100,100,0.674453659541484,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"056A",100,100,100,100,0.638323503583762,0.530621642699993,100,100,100,100,0.043986798152873,100,0.63182801037672,100,100,100,0.435386821195486,100,100,100,0.70146538464589,100,100,100,100,100,100,100,100,100,100,100,100,0.488487084860859,0.0366997110335189,0.59459653144626,100,100,100,0.728728927567682,100,0.716091766518598,100,100,100,100,100,100,100,100,100,100
"071A",100,0.678275790385127,100,100,100,100,100,100,100,100,100,100,100,100,100,0.184309992273458,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"082A",100,100,100,100,100,100,100,100,100,100,0.55340454854981,100,100,100,100,100,100,100,100,100,100,100,100,0.37254190845766,100,100,100,0.66415090847505,0.407864403238072,100,100,100,100,100,0.547211981758999,100,100,100,100,100,0.661635540024704,100,100,100,100,100,100,100,100,100,100,100
"091A",0.23823553347933,100,100,0.169399798974716,100,100,100,0.2118029370836,0.725334306933462,100,100,0.263814349360508,100,100,100,100,100,100,100,100,100,100,100,100,100,0.17950192351648,0.702509917984157,0.491666245398433,100,0.597836343872586,100,100,100,0.693287752875019,100,0.670214226315743,100,100,0.595362349688707,0.666260585957692,0.449801636735246,100,0.0561217996773192,0.000484841524861137,100,100,100,100,100,100,0.273813696082303,100
"092A",100,100,100,100,0.714218717584792,0.460626208309898,100,100,100,100,0.150579248173985,100,0.656991828048038,0.726206190649511,100,100,0.478987010752546,100,100,100,0.636932024246065,100,100,100,100,100,100,100,100,100,100,100,100,0.578660224185195,0.069338125421741,0.650591812596095,100,100,100,100,100,0.663816085035294,100,100,100,100,100,100,100,100,100,100
"095A",0.710834347287299,100,100,0.719096332358571,0.532741297668513,0.32995370844511,100,100,0.634518003372911,100,0.345178562458263,100,0.341997570960199,0.614120064371966,100,100,0.144471047191938,100,100,100,0.475788786557065,100,100,100,100,100,100,100,100,0.680213522835351,100,100,100,0.217244823721078,0.418439863865791,0.331750068430871,100,100,0.68100078752588,0.50871828585815,100,0.667664194667547,100,100,100,100,100,100,0.660841898728973,0.666667618121912,0.695232466794043,100
"096A",0.594318031173443,100,100,0.722899263382752,0.674093643046937,0.214144038236462,100,100,0.454956178521154,100,0.53721070317951,100,0.483547467743446,0.432359718183809,100,100,0.268675217103121,100,100,100,0.503412328184876,100,100,100,100,100,100,100,100,0.551157274076306,100,100,100,0.449786097177587,0.501780583403705,0.407770741309445,100,100,0.550929240553354,0.539028633381222,100,0.613778591750975,100,0.712692803471068,100,100,100,100,0.680656554990169,0.65479528501059,0.624042721093168,100
"111A",100,100,100,100,0.608304718930522,0.440556498829482,100,0.576236486437839,0.238766555347626,100,100,100,0.415620127773986,0.0655033183286343,100,100,0.64009922373731,100,100,100,0.331725965673404,100,100,100,100,0.722895625921053,100,100,0.69745701357249,0.457215658109223,100,100,100,0.710700260609367,100,0.673807906241505,100,100,0.46237818165705,0.479476499745444,100,0.492294633856438,100,100,100,100,100,100,0.470418300954731,0.472155090347397,100,100
"115A",0.583588154979793,100,100,0.718794219740939,0.691413017062694,0.283412752414699,100,0.727707284352857,0.385018472591935,100,0.557114450084937,100,0.56722646750249,0.450202208957806,100,100,0.401768679494519,100,100,100,0.566108219764429,100,100,100,100,100,100,100,100,0.459842647454156,100,100,100,0.581721921631804,0.500964857106317,0.558066627652759,100,100,0.459862615449278,0.699376134165499,100,0.590161506772833,0.702554567703501,0.713484804636525,100,100,100,100,0.703016456119112,0.644990753649223,0.571296639711936,100
"123A",100,100,100,100,0.495316601123305,0.399884628688142,100,0.672332339328076,0.395767564777619,100,0.705162852887104,100,0.267518659294406,0.283855166318379,100,100,0.490541559510343,100,100,100,0.0884090659635224,100,100,100,100,100,100,100,100,0.522197823205135,100,100,100,0.589169225738657,0.692500633188155,0.624303083146964,100,100,0.519461210769087,0.487492980441791,100,0.345505019561527,100,100,100,100,100,100,0.548158071645674,0.576690491350351,100,100
"131A",100,100,100,100,100,100,100,100,100,100,0.553353833196243,100,100,100,100,100,100,100,100,100,100,100,100,0.366609501441815,100,100,100,0.663706358313755,0.403729840034868,100,100,100,100,100,0.548139728715561,100,100,100,100,100,0.658515555389751,100,100,100,100,100,100,100,100,100,100,100
